candidate_id,section,line,quote,class,status,engine_gate,consequence,minimal_fix,finding,verification
C0003,13,231,"Когда тебе будет грозить опасность в воде или под водой, позови меня, и я тебе помогу!».",d,PARTIAL,"§13 choice→639 acquires=""fish_help""; §32→47 / §203→218 / §699→714 inventory_condition=""fish_help""","Promise is gated, but costs one bag slot and can be declined/dropped; the three consumers have no normal graph path from §13 (known state-route limitation, group_74).",Grant fish_help as a mandatory zero-slot knowledge flag; keep consumer gates. Do not invent new river links.,AS-12,verified by code reading
C0004,13,231,"Когда вам будет нужна ее помощь, прибавьте 15 к номеру параграфа, на котором будете находиться, и рыбка попробует вас спасти.",d,PARTIAL,"§13 choice→639 acquires=""fish_help""; §32→47 / §203→218 / §699→714 inventory_condition=""fish_help""","Promise is gated, but costs one bag slot and can be declined/dropped; the three consumers have no normal graph path from §13 (known state-route limitation, group_74).",Grant fish_help as a mandatory zero-slot knowledge flag; keep consumer gates. Do not invent new river links.,AS-12,verified by code reading
C0032,56,743,"Если вы знаете пароль, воспользуйтесь им, если же нет, то придется на ходу быстро придумать, что вы скажете стражам.",d,PARTIAL,"§95 auto_items.items=[""castle_password""]; §56→146 and §205→146 inventory_condition=""castle_password""; the seven excuse/combat alternatives have no inventory_missing",Knowledge gate exists; remembering the spoken password requires accepting an inventory offer and one free slot. The conditional negative alternatives remain offered when the password is known.,"Move knowledge grant to auto_items.flags, extend zero-slot/non-droppable flag handling. Under the literal if/else reading, add inventory_missing=""castle_password"" to those seven alternatives.",AS-12; AS-22,verified by code reading
C0039,67,878,"Если вы знаете, что это, то проделайте такое же сложение, если нет, придется уходить — 53.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 0, ""valid_targets"": [95]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0052,81,1054,"Если уже удалось разбудить Принцессу, то 1220.",d,MODELLED,"§81→1220 inventory_condition=""princess_awake""; §627/§976 auto_items.flags=[""princess_awake""]; §81 auto_items.flags=[""barlad_dead""]",Fresh-play victory requires both deeds; legacy-save migration is separately AS-13.,,,verified by execution: story_probes.js
C0053,81,1054,"Если же нет, то можете обратить внимание на побежденного врага (623) или осмотреть его кабинет: подойти к шкафу (797), к двери в противоположной стене (411), посмотреть карты на столе (850) или подойти к зеркалу (297).",d,PARTIAL,§81→1220 gated; other choices→297/850/411/797/623 have no inventory_missing,"After waking the Princess, the negative-case exploration remains offered, allowing routes to death instead of the prescribed ending.","Add inventory_missing=""princess_awake"" to all five negative-case choices.",AS-03,verified by execution: story_probes.js
C0061,94,1202,"Она поможет вам, если вы того желаете, отвезти Принцессу вместе с вами на волшебном коне домой, к ее отцу, но дело в том, что это возможно в том случае, когда у вас не будет возможности победить злого волшебника, и Барлад Дэрт останется жив.",d,UNMODELLED,§94→989 is a plain choice; no barlad_dead check,"The black-horse escape is offered after Barlad is dead although the text makes the horse rescue conditional on him being alive. §989 is a terminal escape, not §1220 victory.","Gate §94→989 with inventory_missing=""barlad_dead"". If modelling the statue as a future-use item, separately register its grant and eligible consumer; do not assume awakening is required by this sentence.",AS-07,verified by execution: story_probes.js
C0062,94,1202,"Если нужно будет обратиться за помощью к волшебному коню, то посмотрите параграф 989 и фигурка спасет вас.",d,UNMODELLED,§94→989 is a plain choice; no barlad_dead check,"The black-horse escape is offered after Barlad is dead although the text makes the horse rescue conditional on him being alive. §989 is a terminal escape, not §1220 victory.","Gate §94→989 with inventory_missing=""barlad_dead"". If modelling the statue as a future-use item, separately register its grant and eligible consumer; do not assume awakening is required by this sentence.",AS-07,verified by execution: story_probes.js
C0064,95,1213,"Когда вам понадобится пароль, обратитесь к параграфу с этим номером, и вы войдете.",d,PARTIAL,"§95 auto_items.items=[""castle_password""]; §56→146 and §205→146 inventory_condition=""castle_password""",Knowledge gate exists; remembering the spoken password requires accepting an inventory offer and one free slot.,"Move knowledge grant to auto_items.flags, extend zero-slot/non-droppable flag handling.",AS-12,verified by code reading
C0067,95,1213,"Если знаете отгадку, поступите с ней так же, как и с предыдущими: прибавьте к результату 50 и посмотрите нужный параграф.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 50, ""valid_targets"": [163]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0068,95,1213,"Если же нет, то придется уходить — 53.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 50, ""valid_targets"": [163]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0089,146,1809,"Если вы пришли с параграфа 205, то отправляйтесь на 933, если же с параграфа 56, то на 1054.",d,UNMODELLED,"§146 choices=[{""target"":933},{""target"":1054}]; neither checks entry origin",Both entry routes can choose either result; the entrance-specific route is bypassed.,Record origin on 56/205→146 and gate both exits; or route each password choice directly to its canon-specific target while displaying the router text.,AS-01,verified by execution: story_probes.js
