candidate_id,section,line,quote,class,reason,match_patterns
C0001,4,113,"Если знаете, как расшифровать, сделайте это, если же нет, то придется уходить — 180.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0002,8,166,"Вы вместе трогаетесь в путь и, пока вам с ним по пути, можете подумать над его предложением — 413.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0003,13,231,"Когда тебе будет грозить опасность в воде или под водой, позови меня, и я тебе помогу!».",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",when
C0004,13,231,"Когда вам будет нужна ее помощь, прибавьте 15 к номеру параграфа, на котором будете находиться, и рыбка попробует вас спасти.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",when
C0005,15,254,"Вы идете достаточно долго, пока не наступает ночь.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0006,16,274,"Если же вам нечего ему предложить, придется драться — 532.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0007,18,297,"Если вы удачливы, то 23, если нет, — 124.",c,"Luck, dice, or random-outcome condition.",if
C0008,21,329,"Если вы удачливы, то вам сразу удастся перерубить толстую нить, за которую вы подвешены.",c,"Luck, dice, or random-outcome condition.",if
C0009,21,329,"Если же вам не повезло, то перерубить паутину вы сможете только после предстоящего боя, а во время боя вам придется вычитать 2 из вашей СИЛЫ УДАРА, ведь вы, наверняка, никогда еще не дрались, вися в воздухе.",c,"Luck, dice, or random-outcome condition.",if
C0010,21,335,"Если вы победили его, то, отправившись дальше, натыкаетесь на чей-то сгнивший и изъеденный червями труп, валяющийся в кустах.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0011,23,359,"Все обходится благополучно, если не считать того, что дорога вскоре кончается, и вперед ведет узкая тропинка, почти незаметная среди травы.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0012,23,359,"Но обратно вернуться уже нельзя (не тратить же заклятие Левитации, даже если оно у вас есть), и вы идете до самого ее конца — 438.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0013,28,411,"Вы не можете понять, что означают эти слова и если это ответы, то на какие вопросы?",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0014,30,429,"Вы нагибаетесь, чтобы изучить устройство механизма и этим самым спасаете себе жизнь: если бы вы не нагнулись, то топор, спрятанный в дереве так, чтобы сработать на движение рычага, разрубил бы вам голову.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0015,31,438,"Но когда вы собрались наклониться и посмотреть в окошечко (домик не выше вас), вдруг откуда-то послышался голос: «Поговори со мной, храбрый путешественник».",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0016,34,466,"Вы быстро выходите, пока Духи не передумали — 1074.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0017,35,475,"Если хотите, то можете взять его шлем.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0018,36,484,"Поэтому всякий раз, когда он ранит вас, вычитайте у себя не 2, а 4 ВЫНОСЛИВОСТИ.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",when
C0019,36,490,"Если вы убили его, то 63.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0020,38,518,"Если вы победили ее, то 1158.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0021,40,541,"Посмотреть бы, если бы змея не мешала.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0022,40,543,"Так или иначе, а решение принимать надо.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",otherwise
C0023,41,557,"Неудивительно: даже если бы они и знали, что вы пришли в себя, шансов выбрать из клетки у вас все равно нет.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0024,43,578,"Пока Орки не успели понять, в чем дело, вы нападаете на них.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0025,43,587,"Если хотите, можете воспользоваться заклятием Копии.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0026,43,587,"Если убили обоих врагов за 10 раундов атаки, то 1082.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0027,43,587,"Если нет, то 1016.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0028,45,611,"Вы сразу понимаете, что это Принцесса, и сами удивляетесь тому, что узнали ее, хотя лишь раз мельком видели портрет: когда Король напутствовал вас в дорогу.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0029,46,629,"Если вам удалось победить одного из рыцарей, то 98.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0030,48,651,"Старик радостно улыбается и говорит, что хотя он и не надеется дожить до того дня, когда силы Зла будут низвергнуты, но с радостью поможет отважному путешественнику.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
